ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_FCS_claire_sc4_layer4x5x6x7_relu_growthRate12_with_mom_gamma0
2019-06-12_10:54:56 - Epoch: 1, val_loss: 351.236583, val_weighted_mean_squared_error: 351.236583, val_weighted_shape_metric: 0.000000, loss: 122.017953, weighted_mean_squared_error: 122.017953, weighted_shape_metric: 0.000000
2019-06-12_10:55:01 - Epoch: 2, val_loss: 77.156338, val_weighted_mean_squared_error: 77.156338, val_weighted_shape_metric: 0.000000, loss: 20.379806, weighted_mean_squared_error: 20.379806, weighted_shape_metric: 0.000000
2019-06-12_10:55:05 - Epoch: 3, val_loss: 98.586825, val_weighted_mean_squared_error: 98.586825, val_weighted_shape_metric: 0.000000, loss: 8.129034, weighted_mean_squared_error: 8.129034, weighted_shape_metric: 0.000000
2019-06-12_10:55:10 - Epoch: 4, val_loss: 33.006881, val_weighted_mean_squared_error: 33.006881, val_weighted_shape_metric: 0.000000, loss: 3.997938, weighted_mean_squared_error: 3.997938, weighted_shape_metric: 0.000000
2019-06-12_10:55:15 - Epoch: 5, val_loss: 14.954608, val_weighted_mean_squared_error: 14.954608, val_weighted_shape_metric: 0.000000, loss: 3.382953, weighted_mean_squared_error: 3.382953, weighted_shape_metric: 0.000000
2019-06-12_10:55:20 - Epoch: 6, val_loss: 7.644232, val_weighted_mean_squared_error: 7.644232, val_weighted_shape_metric: 0.000000, loss: 2.257700, weighted_mean_squared_error: 2.257700, weighted_shape_metric: 0.000000
2019-06-12_10:55:24 - Epoch: 7, val_loss: 5.245005, val_weighted_mean_squared_error: 5.245005, val_weighted_shape_metric: 0.000000, loss: 1.968086, weighted_mean_squared_error: 1.968086, weighted_shape_metric: 0.000000
2019-06-12_10:55:29 - Epoch: 8, val_loss: 4.068755, val_weighted_mean_squared_error: 4.068755, val_weighted_shape_metric: 0.000000, loss: 1.717036, weighted_mean_squared_error: 1.717036, weighted_shape_metric: 0.000000
2019-06-12_10:55:34 - Epoch: 9, val_loss: 3.094139, val_weighted_mean_squared_error: 3.094139, val_weighted_shape_metric: 0.000000, loss: 1.402756, weighted_mean_squared_error: 1.402756, weighted_shape_metric: 0.000000
2019-06-12_10:55:39 - Epoch: 10, val_loss: 2.408229, val_weighted_mean_squared_error: 2.408229, val_weighted_shape_metric: 0.000000, loss: 1.230455, weighted_mean_squared_error: 1.230455, weighted_shape_metric: 0.000000
ShapeNet2D_FCS_claire_sc1_layer2_relu_growthRate2_with_mom_test
2019-06-12_11:01:15 - Epoch: 1, val_loss: 10062736.000000, val_weighted_mean_squared_error: 59.017445, val_weighted_shape_metric: 10062677.000000, loss: 30865241.500000, weighted_mean_squared_error: 149.138050, weighted_shape_metric: 30865088.750000
2019-06-12_11:01:15 - Epoch: 2, val_loss: 6273450.000000, val_weighted_mean_squared_error: 54.290092, val_weighted_shape_metric: 6273396.000000, loss: 10237686.500000, weighted_mean_squared_error: 82.255436, weighted_shape_metric: 10237603.500000
2019-06-12_11:01:15 - Epoch: 3, val_loss: 4483000.500000, val_weighted_mean_squared_error: 49.771610, val_weighted_shape_metric: 4482951.000000, loss: 8989734.875000, weighted_mean_squared_error: 80.815512, weighted_shape_metric: 8989654.250000
2019-06-12_11:01:15 - Epoch: 4, val_loss: 3760255.250000, val_weighted_mean_squared_error: 54.184723, val_weighted_shape_metric: 3760201.250000, loss: 7005073.375000, weighted_mean_squared_error: 106.823895, weighted_shape_metric: 7004966.500000
2019-06-12_11:01:15 - Epoch: 5, val_loss: 3368975.250000, val_weighted_mean_squared_error: 56.630970, val_weighted_shape_metric: 3368918.750000, loss: 3030571.250000, weighted_mean_squared_error: 81.385593, weighted_shape_metric: 3030490.000000
2019-06-12_11:01:16 - Epoch: 6, val_loss: 3164796.250000, val_weighted_mean_squared_error: 60.907631, val_weighted_shape_metric: 3164735.250000, loss: 6445990.687500, weighted_mean_squared_error: 130.807665, weighted_shape_metric: 6445860.312500
2019-06-12_11:01:16 - Epoch: 7, val_loss: 3000440.500000, val_weighted_mean_squared_error: 59.760460, val_weighted_shape_metric: 3000380.750000, loss: 2456222.687500, weighted_mean_squared_error: 80.977612, weighted_shape_metric: 2456141.437500
2019-06-12_11:01:16 - Epoch: 8, val_loss: 2874668.500000, val_weighted_mean_squared_error: 57.640511, val_weighted_shape_metric: 2874610.750000, loss: 2417423.625000, weighted_mean_squared_error: 72.956920, weighted_shape_metric: 2417350.750000
2019-06-12_11:01:16 - Epoch: 9, val_loss: 2767939.000000, val_weighted_mean_squared_error: 58.039757, val_weighted_shape_metric: 2767881.250000, loss: 1355424.125000, weighted_mean_squared_error: 70.997641, weighted_shape_metric: 1355353.000000
2019-06-12_11:01:17 - Epoch: 10, val_loss: 2658597.500000, val_weighted_mean_squared_error: 58.266834, val_weighted_shape_metric: 2658539.250000, loss: 1821763.687500, weighted_mean_squared_error: 59.286165, weighted_shape_metric: 1821704.437500
ShapeNet2D_FCS_claire_sc1_layer2_relu_growthRate2_with_mom_test
2019-06-12_11:03:35 - Epoch: 1, val_loss: 6491537.500000, val_weighted_mean_squared_error: 62.835499, val_weighted_shape_metric: 6491475.000000, loss: 26284719.500000, weighted_mean_squared_error: 128.985958, weighted_shape_metric: 26284587.500000
2019-06-12_11:03:35 - Epoch: 2, val_loss: 3685196.500000, val_weighted_mean_squared_error: 50.835735, val_weighted_shape_metric: 3685145.500000, loss: 18619833.000000, weighted_mean_squared_error: 74.464352, weighted_shape_metric: 18619759.500000
2019-06-12_11:03:35 - Epoch: 3, val_loss: 2546359.000000, val_weighted_mean_squared_error: 52.619835, val_weighted_shape_metric: 2546306.500000, loss: 7374772.250000, weighted_mean_squared_error: 82.026920, weighted_shape_metric: 7374690.750000
2019-06-12_11:03:35 - Epoch: 4, val_loss: 2009118.750000, val_weighted_mean_squared_error: 57.346081, val_weighted_shape_metric: 2009061.625000, loss: 10203739.500000, weighted_mean_squared_error: 92.816212, weighted_shape_metric: 10203645.250000
2019-06-12_11:03:35 - Epoch: 5, val_loss: 1769519.250000, val_weighted_mean_squared_error: 61.171631, val_weighted_shape_metric: 1769458.250000, loss: 4906676.000000, weighted_mean_squared_error: 81.692770, weighted_shape_metric: 4906594.250000
2019-06-12_11:03:36 - Epoch: 6, val_loss: 1629192.250000, val_weighted_mean_squared_error: 67.053886, val_weighted_shape_metric: 1629125.250000, loss: 6205517.312500, weighted_mean_squared_error: 128.584644, weighted_shape_metric: 6205388.500000
2019-06-12_11:03:36 - Epoch: 7, val_loss: 1516526.750000, val_weighted_mean_squared_error: 68.025436, val_weighted_shape_metric: 1516458.750000, loss: 2365038.875000, weighted_mean_squared_error: 80.397696, weighted_shape_metric: 2364958.375000
2019-06-12_11:03:36 - Epoch: 8, val_loss: 1435324.750000, val_weighted_mean_squared_error: 69.999550, val_weighted_shape_metric: 1435254.875000, loss: 1679523.812500, weighted_mean_squared_error: 71.144571, weighted_shape_metric: 1679452.687500
2019-06-12_11:03:36 - Epoch: 9, val_loss: 1368213.375000, val_weighted_mean_squared_error: 69.996925, val_weighted_shape_metric: 1368143.375000, loss: 1649272.062500, weighted_mean_squared_error: 68.246628, weighted_shape_metric: 1649203.875000
2019-06-12_11:03:36 - Epoch: 10, val_loss: 1312178.875000, val_weighted_mean_squared_error: 71.523270, val_weighted_shape_metric: 1312107.375000, loss: 1952916.812500, weighted_mean_squared_error: 72.631859, weighted_shape_metric: 1952844.125000
ShapeNet2D_FCS_claire_sc4_layer4x5x6x7_relu_growthRate12_with_mom_gamma0
2019-06-12_11:09:46 - Epoch: 1, val_loss: 138.211142, val_weighted_mean_squared_error: 138.211142, val_weighted_shape_metric: 0.000000, loss: 108.951176, weighted_mean_squared_error: 108.951176, weighted_shape_metric: 0.000000
2019-06-12_11:09:49 - Epoch: 2, val_loss: 792.492456, val_weighted_mean_squared_error: 792.492456, val_weighted_shape_metric: 0.000000, loss: 20.664959, weighted_mean_squared_error: 20.664959, weighted_shape_metric: 0.000000
